cube_id,exit_code,wall_seconds
z12672_y04352_x04352,0,405.38
z12672_y04352_x03712,0,408.33
z12672_y04352_x03968,0,429.40
z12672_y04352_x03840,0,578.47
z12672_y04352_x04096,0,624.43
z12672_y04352_x04224,0,643.77
z12672_y04352_x04480,0,654.94
z12672_y04480_x04096,0,414.03
z12672_y04480_x03712,0,945.51
z12672_y04608_x03712,0,319.46
z12672_y04608_x04096,0,226.37
z12672_y04480_x03968,0,842.89
z12672_y04480_x04224,0,705.98
z12672_y04480_x04480,0,756.77
z12672_y04480_x03840,0,1082.64
z12672_y04608_x03840,0,688.94
z12672_y04608_x03968,0,594.88
z12672_y04608_x04352,0,412.21
z12672_y04608_x04224,0,467.09
z12672_y04480_x04352,0,1156.76
z12672_y04736_x03968,0,493.90
z12672_y04608_x04480,0,773.76
z12672_y04736_x03840,0,616.90
z12672_y04736_x04096,0,571.63
z12672_y04736_x03712,0,713.10
z12672_y04736_x04224,0,471.32
z12672_y04736_x04480,0,393.51
z12672_y04864_x03968,0,83.98
z12672_y04864_x03840,0,133.42
z12672_y04736_x04352,0,534.97
z12672_y04864_x03712,0,190.95
z12672_y04864_x04096,0,156.58
z12672_y04992_x03840,0,78.92
z12672_y04992_x03712,0,90.54
z12672_y04992_x03968,0,108.99
z12672_y04864_x04352,0,198.89
z12672_y04864_x04224,0,222.15
z12672_y04992_x04096,0,170.66
z12672_y04992_x04352,0,119.19
z12672_y04864_x04480,0,220.42
z12672_y04992_x04224,0,134.12
z12672_y04992_x04480,0,138.83
z12672_y05120_x03840,0,102.20
z12672_y05120_x03712,0,131.00
z12672_y05120_x04352,0,91.57
z12672_y05120_x04480,0,105.89
z12672_y05120_x03968,0,181.66
z12672_y05120_x04224,0,147.29
z12800_y04352_x04352,0,102.55
z12672_y05120_x04096,0,246.66
z12800_y04352_x04224,0,128.95
z12800_y04352_x04480,0,146.21
z12800_y04352_x03712,0,280.05
z12800_y04352_x03840,0,293.90
z12800_y04352_x04096,0,284.31
z12800_y04480_x03712,0,180.56
z12800_y04352_x03968,0,401.83
z12800_y04480_x03968,0,217.72
z12800_y04480_x03840,0,228.19
z12800_y04608_x03712,0,73.05
z12800_y04480_x04224,0,190.95
z12800_y04480_x04096,0,220.00
z12800_y04608_x03840,0,95.15
z12800_y04480_x04480,0,208.51
z12800_y04608_x04096,0,118.95
z12800_y04480_x04352,0,258.13
z12800_y04608_x04224,0,134.30
z12800_y04608_x04352,0,140.00
z12800_y04608_x03968,0,187.20
z12800_y04736_x03712,0,142.98
z12800_y04736_x03968,0,104.88
z12800_y04736_x04096,0,103.72
z12800_y04608_x04480,0,193.22
z12800_y04736_x03840,0,128.19
z12800_y04736_x04480,0,147.76
z12800_y04864_x03840,0,110.29
z12800_y04736_x04224,0,193.78
z12800_y04736_x04352,0,191.79
z12800_y04864_x03968,0,178.21
z12800_y04864_x04224,0,178.07
z12800_y04992_x03712,0,91.76
z12800_y04992_x03840,0,129.45
z12800_y04864_x03712,0,293.23
z12800_y04864_x04096,0,282.19
z12800_y04864_x04480,0,193.12
z12800_y04992_x03968,0,143.43
z12800_y04864_x04352,0,235.65
z12800_y04992_x04224,0,174.16
z12800_y04992_x04096,0,182.41
z12800_y04992_x04480,0,99.24
z12800_y05120_x03840,0,85.66
z12800_y04992_x04352,0,146.79
z12800_y05120_x03712,0,144.12
z12928_y04352_x03840,0,111.16
z12928_y04352_x03712,0,150.04
z12800_y05120_x03968,0,240.60
z12800_y05120_x04480,0,182.36
z12800_y05120_x04224,0,212.83
z12928_y04352_x03968,0,187.38
z12800_y05120_x04352,0,273.58
z12928_y04480_x03712,0,79.90
z12800_y05120_x04096,0,339.00
z12928_y04352_x04480,0,166.14
z12928_y04480_x03840,0,118.88
z12928_y04352_x04096,0,231.39
z12928_y04480_x04224,0,102.92
z12928_y04480_x03968,0,144.10
z12928_y04352_x04352,0,238.42
z12928_y04480_x04096,0,140.09
z12928_y04352_x04224,0,282.35
z12928_y04608_x03840,0,86.72
z12928_y04480_x04480,0,139.17
z12928_y04608_x03968,0,96.89
z12928_y04608_x04096,0,98.71
z12928_y04608_x03712,0,153.80
z12928_y04608_x04224,0,100.14
z12928_y04480_x04352,0,186.78
z12928_y04736_x03968,0,35.43
z12928_y04736_x04096,0,37.63
z12928_y04736_x03840,0,76.89
z12928_y04608_x04352,0,151.21
z12928_y04736_x03712,0,126.21
z12928_y04736_x04224,0,97.52
z12928_y04736_x04352,0,97.03
z12928_y04864_x03840,0,75.14
z12928_y04608_x04480,0,198.06
z12928_y04864_x03968,0,103.16
z12928_y04736_x04480,0,153.60
z12928_y04864_x04224,0,101.52
z12928_y04864_x04096,0,125.30
z12928_y04864_x04480,0,98.87
z12928_y04864_x03712,0,217.48
z12928_y04864_x04352,0,166.53
z12928_y04992_x04096,0,99.33
z12928_y04992_x03840,0,138.29
z12928_y04992_x03968,0,147.31
z12928_y04992_x04352,0,107.25
z12928_y04992_x04480,0,102.29
z12928_y04992_x03712,0,205.51
z12928_y04992_x04224,0,177.46
z12928_y05120_x03712,0,182.92
z12928_y05120_x03840,0,168.98
z12928_y05120_x04224,0,179.20
z12928_y05120_x04352,0,175.74
z12928_y05120_x04480,0,172.40
z12928_y05120_x04096,0,227.97
z12928_y05120_x03968,0,254.52
