cube_id,exit_code,wall_seconds
z09856_y03200_x03072,0,128.26
z09856_y03200_x03200,0,134.49
z09856_y03200_x03328,0,178.58
z09856_y03072_x03072,0,228.45
z09856_y03072_x03584,0,262.82
z09856_y03072_x03456,0,285.41
z09856_y03328_x03072,0,113.17
z09856_y03072_x03328,0,311.88
z09856_y03200_x03456,0,247.75
z09856_y03328_x03328,0,120.86
z09856_y03456_x03072,0,74.31
z09856_y03328_x03200,0,171.59
z09856_y03328_x03456,0,116.76
z09856_y03200_x03584,0,274.86
z09856_y03456_x03200,0,62.81
z09856_y03584_x03072,0,50.43
z09856_y03456_x03328,0,76.15
z09856_y03584_x03200,0,51.15
z09856_y03456_x03584,0,73.91
z09856_y03328_x03584,0,199.72
z09856_y03584_x03328,0,54.51
z09856_y03584_x03456,0,47.39
z09856_y03456_x03456,0,122.65
z09856_y03584_x03584,0,50.62
z09856_y03072_x03200,0,523.23
